object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K00805.01,FALSE POSITIVE,10.32803571,7.7915,16918,13.28,5627,4.359,1.024,Kepler,,,,,,,,,
K00806.01,CONFIRMED,143.2063047,8.9302,10566,8.9,5485,4.556,0.867,Kepler,,,,,,,,,
K00116.03,CONFIRMED,6.164876,3.262,55.8,0.79,5854,4.406,1.012,Kepler,,,,,,,,,
K00806.02,CONFIRMED,60.32494216,6.6188,20280,12.19,5485,4.556,0.867,Kepler,,,,,,,,,
K00806.03,CONFIRMED,29.1598615,4.803,488,1.91,5485,4.556,0.867,Kepler,,,,,,,,,
K00807.01,FALSE POSITIVE,1.540397253,2.1541,816.1,25.69,5663,4.53,0.915,Kepler,,,,,,,,,
K00808.01,FALSE POSITIVE,2.99025443,5.414,589.2,1.7,4667,4.578,0.731,Kepler,,,,,,,,,
K00809.01,CONFIRMED,1.594745374,1.9604,15044,11.3,5934,4.491,0.893,Kepler,,,,,,,,,
K00810.01,CONFIRMED,4.783002698,2.335,1008.7,2.5,5170,4.574,0.807,Kepler,,,,,,,,,
K00811.01,CONFIRMED,20.50588921,4.0595,2105.5,3.41,4905,4.544,0.761,Kepler,,,,,,,,,
K00812.01,CONFIRMED,3.340218842,1.9104,1632.6,2.03,3950,4.754,0.493,Kepler,,,,,,,,,
K00828.01,FALSE POSITIVE,2.507089906,2.0067,1339.2,30.26,5926,4.506,0.939,Kepler,,,,,,,,,
K00829.01,CONFIRMED,18.64932728,4.4056,893.6,3.12,5775,4.405,1.053,Kepler,,,,,,,,,
K00117.02,CONFIRMED,4.90144976,4.1654,140.7,1.7,5847,4.191,1.402,Kepler,,,,,,,,,
K00829.02,CONFIRMED,9.75192101,4.793,418,2.76,5775,4.405,1.053,Kepler,,,,,,,,,
K00829.03,CONFIRMED,38.5576546,5.794,993,4.02,5775,4.405,1.053,Kepler,,,,,,,,,
K00830.01,CONFIRMED,3.525632539,2.59959,22335,11.58,5150,4.572,0.793,Kepler,,,,,,,,,
K00815.01,CANDIDATE,34.84398644,2.9315,4523.6,7.61,5509,4.482,0.871,Kepler,,,,,,,,,
K00816.01,CONFIRMED,7.748094239,3.5957,2472.1,5.52,5973,4.439,1.085,Kepler,,,,,,,,,
K00817.01,CONFIRMED,23.96793669,3.827,1182.3,1.8,3747,4.728,0.524,Kepler,,,,,,,,,
K00817.02,CONFIRMED,8.29561738,1.3421,824.3,1.82,3747,4.728,0.524,Kepler,,,,,,,,,
K00818.01,CONFIRMED,8.11437482,2.2736,1558,2.1,3692,4.753,0.517,Kepler,,,,,,,,,
K00819.01,FALSE POSITIVE,38.03672948,4.34617,82872,27.5,5575,4.521,0.932,Kepler,,,,,,,,,
K00820.01,CANDIDATE,4.64090031,35.512,2450.6,30.09,6463,4.5,0.826,Kepler,,,,,,,,,
K00011.01,FALSE POSITIVE,3.747838198,5.0642,616,13.65,5514,4.569,0.826,Kepler,,,,,,,,,
K00117.01,CONFIRMED,14.74914825,6.0995,430.2,2.89,5847,4.191,1.402,Kepler,,,,,,,,,
K00821.01,CONFIRMED,21.81295996,4.3791,1175.4,3.38,5601,4.41,0.999,Kepler,,,,,,,,,
K00822.01,FALSE POSITIVE,7.91936937,3.3148,15148,10.34,5690,4.588,0.776,Kepler,,,,,,,,,
K00823.01,CANDIDATE,1.028436523,1.8606,8098,72.77,6228,4.428,0.99,Kepler,,,,,,,,,
K00824.01,CONFIRMED,15.37562369,3.3169,15337,11.01,4986,4.496,0.833,Kepler,,,,,,,,,
K00825.01,CONFIRMED,8.10363271,3.161,887.9,2.11,4861,4.574,0.732,Kepler,,,,,,,,,
K00825.02,CONFIRMED,4.71510843,2.506,417.5,1.46,4861,4.574,0.732,Kepler,,,,,,,,,
K00826.01,CONFIRMED,6.365839713,2.9721,780.7,2.44,5776,4.554,0.849,Kepler,,,,,,,,,
K00827.01,FALSE POSITIVE,5.97581754,3.065,962.4,3.86,6108,4.471,0.997,Kepler,,,,,,,,,
K00839.01,FALSE POSITIVE,2.446737317,4.7211,1177.9,26.25,5764,4.548,0.863,Kepler,,,,,,,,,
K00840.01,CONFIRMED,3.04033046,1.8411,10859,8.99,5035,4.519,0.791,Kepler,,,,,,,,,
K00841.01,CONFIRMED,15.33528675,3.897,3081.4,5,5251,4.581,0.817,Kepler,,,,,,,,,
